Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
Post Malone Featuring Ty Dolla $ign,Psycho,1.0,15.0,2018-03-10
Drake,Nice For What,1.0,9.0,2018-04-21
"Cardi B, Bad Bunny & J Balvin",I Like It,3.0,9.0,2018-04-21
Maroon 5 Featuring Cardi B,Girls Like You,4.0,2.0,2018-06-09
Drake,God's Plan,1.0,20.0,2018-02-03
Ella Mai,Boo'd Up,6.0,10.0,2018-04-14
Childish Gambino,This Is America,1.0,5.0,2018-05-19
Kanye West,Yikes,8.0,1.0,2018-06-16
Juice WRLD,Lucid Dreams,9.0,4.0,2018-05-26
"Zedd, Maren Morris & Grey",The Middle,5.0,19.0,2018-02-10
Kanye West,All Mine,11.0,1.0,2018-06-16
Bebe Rexha & Florida Georgia Line,Meant To Be,2.0,33.0,2017-11-11
Ariana Grande,No Tears Left To Cry,3.0,7.0,2018-05-05
Marshmello & Anne-Marie,Friends,11.0,17.0,2017-09-09
Lil Baby & Drake,Yes Indeed,6.0,4.0,2018-05-26
Kanye West Featuring PARTYNEXTDOOR,Ghost Town,16.0,17.0,2015-07-04
Migos Featuring Drake,Walk It Talk It,10.0,19.0,2018-02-10
Camila Cabello,Never Be The Same,6.0,25.0,2017-12-30
BlocBoy JB Featuring Drake,Look Alive,5.0,17.0,2016-09-03
Shawn Mendes,In My Blood,11.0,12.0,2018-03-31
Ed Sheeran,Perfect,1.0,41.0,2015-11-07
Imagine Dragons,Whatever It Takes,12.0,19.0,2017-06-03
Bazzi,Mine,11.0,20.0,2018-02-03
Kanye West Featuring PARTYNEXTDOOR,Wouldn't Leave,24.0,1.0,2018-06-16
Cardi B,Be Careful,11.0,10.0,2018-04-14
Maroon 5,Wait,24.0,21.0,2017-11-25
Kanye West,Violent Crimes,27.0,1.0,2018-06-16
Kanye West,I Thought About Killing You,28.0,1.0,2018-06-16
Post Malone Featuring 21 Savage,Rockstar,1.0,38.0,2017-10-07
Kane Brown,Heaven,15.0,24.0,2017-10-28
Selena Gomez,Back To You,31.0,10.0,2017-08-12
Drake,I'm Upset,19.0,2.0,2018-06-09
Camila Cabello Featuring Young Thug,Havana,1.0,43.0,2017-08-26
Post Malone,Better Now,7.0,6.0,2018-05-12
Rich The Kid,Plug Walk,13.0,17.0,2018-02-24
Kanye West,No Mistakes,36.0,1.0,2018-06-16
Taylor Swift,Delicate,28.0,13.0,2018-03-24
Calvin Harris & Dua Lipa,One Kiss,32.0,9.0,2018-04-21
Lil Dicky Featuring Chris Brown,Freaky Friday,8.0,12.0,2018-03-31
Dua Lipa,New Rules,6.0,45.0,2017-08-19
Dan + Shay,Tequila,37.0,13.0,2018-01-27
Khalid & Normani,Love Lies,35.0,16.0,2018-03-03
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36.0,7.0,2018-05-05
The Weeknd & Kendrick Lamar,Pray For Me,7.0,18.0,2018-02-17
Luke Combs,One Number Away,34.0,12.0,2018-03-31
Nicki Minaj,Chun-Li,10.0,9.0,2018-04-21
6ix9ine Featuring DJ SPINKING,TATI,46.0,2.0,2018-06-09
BTS,Fake Love,8.0,25.0,2016-11-12
Juice WRLD,All Girls Are The Same,47.0,4.0,2018-05-26
Bruno Mars & Cardi B,Finesse,3.0,23.0,2018-01-13
XXXTENTACION,Sad!,7.0,14.0,2018-03-17
The Weeknd,Call Out My Name,4.0,10.0,2018-04-14
Lauv,I Like Me Better,53.0,17.0,2018-02-24
Dua Lipa,IDGAF,49.0,21.0,2018-01-27
Florida Georgia Line,Simple,55.0,1.0,2018-06-16
Kenny Chesney,Get Along,56.0,9.0,2018-04-21
Nicky Jam x J Balvin,X,36.0,21.0,2016-10-01
Morgan Wallen Featuring Florida Georgia Line,Up Down,54.0,11.0,2018-04-07
Tyga Featuring Offset,Taste,59.0,2.0,2018-06-09
J. Cole,KOD,10.0,7.0,2018-05-05
Charlie Puth Featuring Kehlani,Done For Me,53.0,5.0,2018-05-19
Jason Aldean,You Make It Easy,28.0,19.0,2018-02-10
Post Malone Featuring Nicki Minaj,Ball For Me,16.0,6.0,2018-05-12
Foster The People,Sit Next To Me,63.0,12.0,2018-03-31
Daddy Yankee,Dura,43.0,18.0,2018-02-17
Lil Pump,Esskeetit,24.0,8.0,2018-04-28
Rae Sremmurd & Juicy J,Powerglide,28.0,14.0,2018-03-17
Famous Dex,Japan,28.0,11.0,2018-04-07
Dierks Bentley,"Woman, Amen",67.0,9.0,2018-04-14
A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),45.0,2.0,2018-06-09
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,69.0,7.0,2018-05-05
YoungBoy Never Broke Again,Overdose,42.0,6.0,2018-05-12
Halsey Featuring Big Sean & Stefflon Don,Alone,60.0,10.0,2016-11-05
Brett Young,Mercy,15.0,32.0,2016-09-10
El Chombo Featuring Cutty Ranks,Dame Tu Cosita,36.0,7.0,2018-05-05
Blake Shelton,I Lived It,64.0,14.0,2018-03-17
Luke Combs,Beautiful Crazy,58.0,3.0,2018-05-19
