Artist_x,Title,PeakPos,Duration,Date,id,Acousticness,Album,AlbumType,Artist_y,Danceability,DateS,Energy,Explicit,Genre,Instrumentalness,Key,Label,Length,Liveness,Loudness,Speechiness,Tempo,Track,TrackNumber,Valence
Post Malone Ty Dolla $ign,Psycho,1.0,15.0,2018-03-10,0,0.58,beerbongs & bentleys,album,Post Malone,0.739,2018-04-27,0.559,1.0,"['pop', 'rap']",0.0,8.0,Republic Records,221440.0,0.112,-8.011,0.117,140.124,Psycho (feat. Ty Dolla $ign),8.0,0.439
Drake,Nice For What,1.0,9.0,2018-04-21,1,0.0934,Nice For What,single,Drake,0.567,2018-04-06,0.913,1.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.000124,8.0,Cash Money/Drake LP6,210925.0,0.114,-6.471,0.0736,93.35,Nice For What,1.0,0.792
"Cardi B, Bad Bunny J Balvin",I Like It,3.0,9.0,2018-04-21,2,0.099,Invasion of Privacy,album,Cardi B,0.816,2018-04-06,0.726,1.0,['pop'],0.0,5.0,Atlantic/KSR,253390.0,0.372,-3.998,0.129,136.048,I Like It,7.0,0.65
Maroon 5 Cardi B,Girls Like You,4.0,2.0,2018-06-09,3,0.568,Girls Like You (feat. Cardi B),single,Maroon 5,0.851,2018-05-30,0.541,1.0,"['dance pop', 'pop']",0.0,0.0,Interscope Records*,235545.0,0.13,-6.825,0.0505,124.959,Girls Like You (feat. Cardi B),1.0,0.448
Drake,God's Plan,1.0,20.0,2018-02-03,4,0.0244,Scary Hours,single,Drake,0.753,2018-01-20,0.454,1.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",5.62e-05,7.0,Universal Music Group,198960.0,0.498,-9.488,0.0963,77.17,God's Plan,1.0,0.344
Ella Mai,Boo'd Up,6.0,10.0,2018-04-14,5,0.095,READY,single,Ella Mai,0.481,2017-02-22,0.79,0.0,"['dance pop', 'deep pop r&b', 'indie r&b', 'pop', 'r&b', 'urban contemporary']",0.0,10.0,10 Summers Records/Interscope Records,256063.0,0.0802,-5.189,0.0606,81.939,Boo'd Up,1.0,0.24
Childish Gambino,This Is America,1.0,5.0,2018-05-19,6,0.117,This Is America,single,Childish Gambino,0.854,2018-05-06,0.463,1.0,"['hip hop', 'pop rap', 'rap']",0.0,5.0,mcDJ Recording/RCA Records,225773.0,0.354,-6.159,0.137,120.024,This Is America,1.0,0.549
Kanye West,Yikes,8.0,1.0,2018-06-16,7,0.145,ye,album,Kanye West,0.676,2018-06-01,0.777,1.0,"['pop rap', 'rap']",0.0,1.0,"Getting Out Our Dreams, Inc./Def Jam Recordings",188773.0,0.228,-3.241,0.357,173.931,Yikes,2.0,0.226
Juice WRLD,Lucid Dreams,9.0,4.0,2018-05-26,8,0.349,Goodbye & Good Riddance,album,Juice WRLD,0.511,2018-05-23,0.566,1.0,"['rap', 'trap music']",0.0,6.0,Juice WRLD Mixtape / ISR P&D,239835.0,0.34,-7.23,0.2,83.903,Lucid Dreams,3.0,0.218
"Zedd, Maren Morris Grey",The Middle,5.0,19.0,2018-02-10,9,0.198,The Middle,single,Zedd,0.745,2018-01-23,0.652,0.0,"['complextro', 'dance pop', 'edm', 'german techno', 'pop', 'post-teen pop', 'tropical house']",0.0,7.0,Interscope Records,184732.0,0.133,-3.099,0.0604,106.809,The Middle,1.0,0.409
Kanye West,All Mine,11.0,1.0,2018-06-16,10,0.125,ye,album,Kanye West,0.925,2018-06-01,0.308,1.0,"['pop rap', 'rap']",0.0,11.0,"Getting Out Our Dreams, Inc./Def Jam Recordings",145506.0,0.0933,-6.562,0.338,122.099,All Mine,3.0,0.265
Bebe Rexha Florida Georgia Line,Meant To Be,2.0,33.0,2017-11-11,11,0.047,All Your Fault: Pt. 2,single,Bebe Rexha,0.643,2017-08-11,0.783,0.0,"['dance pop', 'edm', 'pop', 'post-teen pop']",0.0,10.0,Warner Bros.,163870.0,0.083,-6.458,0.0856,154.084,Meant to Be (feat. Florida Georgia Line),6.0,0.579
Ariana Grande,No Tears Left To Cry,3.0,7.0,2018-05-05,12,0.0375,no tears left to cry,single,Ariana Grande,0.703,2018-04-20,0.696,0.0,"['dance pop', 'pop', 'post-teen pop']",5.65e-06,0.0,Universal Records,205946.0,0.274,-5.482,0.0529,121.969,no tears left to cry,1.0,0.366
Marshmello Anne-Marie,Friends,11.0,17.0,2017-09-09,13,0.205,FRIENDS,single,Marshmello,0.626,2018-02-09,0.88,1.0,"['brostep', 'pop', 'progressive electro house']",0.0,9.0,Atlantic Records UK,202620.0,0.128,-2.384,0.0504,95.079,FRIENDS,1.0,0.534
Lil Baby Drake,Yes Indeed,6.0,4.0,2018-05-26,14,0.035,Harder Than Ever,album,Lil Baby,0.964,2018-05-18,0.346,1.0,"['rap', 'southern hip hop', 'trap music']",0.0,5.0,"Quality Control Music, LLC",142273.0,0.108,-9.309,0.53,119.958,Yes Indeed,5.0,0.562
Kanye West PARTYNEXTDOOR,Ghost Town,16.0,17.0,2015-07-04,15,0.0954,ye,album,Kanye West,0.572,2018-06-01,0.543,1.0,"['pop rap', 'rap']",0.0,7.0,"Getting Out Our Dreams, Inc./Def Jam Recordings",271386.0,0.329,-4.251,0.0287,83.364,Ghost Town,6.0,0.329
Migos Drake,Walk It Talk It,10.0,19.0,2018-02-10,16,0.0739,Culture II,album,Migos,0.909,2018-01-26,0.628,1.0,"['pop', 'rap', 'trap music']",0.0,2.0,"Quality Control Music, LLC",276147.0,0.108,-5.456,0.201,145.905,Walk It Talk It,6.0,0.406
Camila Cabello,Never Be The Same,6.0,25.0,2017-12-30,17,0.181,Camila,album,Camila Cabello,0.637,2018-01-12,0.713,0.0,"['pop', 'post-teen pop']",0.000637,0.0,Syco Music/Epic,226973.0,0.137,-4.333,0.0747,129.923,Never Be the Same,1.0,0.243
BlocBoy JB Drake,Look Alive,5.0,17.0,2016-09-03,18,0.00104,Look Alive (feat. Drake),single,BlocBoy JB,0.922,2018-02-09,0.581,1.0,"['dwn trap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",5.86e-05,10.0,OVO Sound/Warner Bros.,181263.0,0.105,-7.495,0.27,140.022,Look Alive (feat. Drake),1.0,0.595
Shawn Mendes,In My Blood,11.0,12.0,2018-03-31,19,0.0544,Shawn Mendes,album,Shawn Mendes,0.618,2018-05-25,0.711,0.0,"['canadian pop', 'pop', 'viral pop']",0.0,5.0,Island Records,211360.0,0.125,-7.248,0.0706,139.967,In My Blood,1.0,0.488
Ed Sheeran,Perfect,1.0,41.0,2015-11-07,20,0.779,Perfect Duet (Ed Sheeran & Beyoncé),single,Ed Sheeran,0.587,2017-11-30,0.299,0.0,['pop'],0.0,8.0,Atlantic Records UK,259550.0,0.123,-7.365,0.0263,94.992,Perfect Duet (Ed Sheeran & Beyoncé),1.0,0.356
Imagine Dragons,Whatever It Takes,12.0,19.0,2017-06-03,21,0.0409,Evolve,album,Imagine Dragons,0.675,2017-06-23,0.674,0.0,"['modern rock', 'vegas indie']",0.0,1.0,KIDinaKORNER/Interscope Records,201240.0,0.128,-4.984,0.0305,134.941,Whatever It Takes,3.0,0.569
