Acousticness,Album,Album Type,Artist,Danceability,Date,Energy,Explicit,Genre,Instrumentalness,Key,Label,Length,Liveness,Loudness,Speechiness,Tempo,Track,Track Number,Valence
0.0815,Redemption,album,Jay Rock,0.634,2018-06-15,0.646,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",2.52e-05,0.0,Jay Rock (TDE/ISR) JV,183413.0,0.348,-4.444,0.178,148.031,The Bloodiest,1.0,0.338
0.444,Redemption,album,Jay Rock,0.807,2018-06-15,0.544,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",2.81e-06,0.0,Jay Rock (TDE/ISR) JV,186720.0,0.215,-7.545,0.431,144.071,For What It's Worth,2.0,0.533
0.336,Redemption,album,Jay Rock,0.926,2018-06-15,0.467,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",4.41e-05,6.0,Jay Rock (TDE/ISR) JV,191146.0,0.116,-7.537,0.112,132.977,Knock It Off,3.0,0.827
0.218,Redemption,album,Jay Rock,0.614,2018-06-15,0.739,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",0.0,10.0,Jay Rock (TDE/ISR) JV,210800.0,0.153,-6.023,0.436,80.328,ES Tales,4.0,0.588
0.0579,Redemption,album,Jay Rock,0.736,2018-06-15,0.719,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",0.00632,9.0,Jay Rock (TDE/ISR) JV,212240.0,0.127,-4.651,0.238,175.895,Rotation 112th,5.0,0.305
0.0982,Redemption,album,Jay Rock,0.675,2018-06-15,0.619,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",0.0,5.0,Jay Rock (TDE/ISR) JV,199960.0,0.199,-6.255,0.0571,100.093,Tap Out (feat. Jeremih),6.0,0.572
0.409,Redemption,album,Jay Rock,0.761,2018-06-15,0.671,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",0.0,1.0,Jay Rock (TDE/ISR) JV,323120.0,0.27,-7.002,0.193,124.993,OSOM (feat. J. Cole),7.0,0.388
0.00214,Redemption,album,Jay Rock,0.844,2018-06-15,0.794,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",0.0,1.0,Jay Rock (TDE/ISR) JV,161293.0,0.109,-4.573,0.228,82.028,King's Dead (feat. Future),8.0,0.549
0.271,Redemption,album,Jay Rock,0.537,2018-06-15,0.473,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",3.61e-06,1.0,Jay Rock (TDE/ISR) JV,203120.0,0.121,-8.606,0.38,90.389,Troopers,9.0,0.449
0.218,Redemption,album,Jay Rock,0.625,2018-06-15,0.739,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",0.0,2.0,Jay Rock (TDE/ISR) JV,174066.0,0.111,-8.764,0.511,140.056,Broke +-,10.0,0.323
0.0316,Redemption,album,Jay Rock,0.783,2018-06-15,0.631,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",0.0,8.0,Jay Rock (TDE/ISR) JV,175213.0,0.0612,-4.509,0.338,150.112,Wow Freestyle (feat. Kendrick Lamar),11.0,0.751
0.0799,Redemption,album,Jay Rock,0.643,2018-06-15,0.815,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",0.0,10.0,Jay Rock (TDE/ISR) JV,211613.0,0.141,-5.369,0.299,143.94,Redemption (feat. SZA),12.0,0.333
0.0144,Redemption,album,Jay Rock,0.664,2018-06-15,0.595,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",0.0,1.0,Jay Rock (TDE/ISR) JV,215226.0,0.464,-2.947,0.217,126.046,WIN,13.0,0.374
0.0854,Growing Pains,single,Alessia Cara,0.359,2018-06-15,0.728,0.0,"['dance pop', 'pop', 'post-teen pop']",0.0,6.0,Def Jam Recordings,193680.0,0.489,-6.281,0.598,191.227,Growing Pains,1.0,0.441
0.225,Keeping Score (feat. Kelly Clarkson),single,Dan + Shay,0.567,2018-06-15,0.622,0.0,"['contemporary country', 'country road']",0.0,4.0,Warner Bros.,220213.0,0.138,-4.29,0.0317,135.97,Keeping Score (feat. Kelly Clarkson),1.0,0.336
0.584,Ocean (feat. Khalid),single,Martin Garrix,0.506,2018-06-15,0.693,0.0,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",9.58e-05,0.0,Epic Amsterdam,216419.0,0.0891,-7.265,0.0412,139.912,Ocean (feat. Khalid),1.0,0.221
0.555,Liberation,album,Christina Aguilera,0.241,2018-06-15,0.271,0.0,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",0.43,8.0,RCA Records Label,107373.0,0.114,-16.271,0.0363,60.018,Liberation,1.0,0.044
0.863,Liberation,album,Christina Aguilera,0.5,2018-06-15,0.067,0.0,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",0.0,3.0,RCA Records Label,25026.0,0.132,-17.953,0.226,106.227,Searching For Maria,2.0,0.334
0.0269,Liberation,album,Christina Aguilera,0.453,2018-06-15,0.738,0.0,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",2.01e-06,1.0,RCA Records Label,274760.0,0.159,-5.045,0.088,148.195,Maria,3.0,0.0864
0.406,Liberation,album,Christina Aguilera,0.472,2018-06-15,0.977,1.0,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",0.000159,11.0,RCA Records Label,240533.0,0.986,-2.409,0.419,169.953,Sick Of Sittin',4.0,0.66
0.872,Liberation,album,Christina Aguilera,0.786,2018-06-15,0.179,0.0,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",0.0,7.0,RCA Records Label,36880.0,0.59,-15.714,0.702,101.917,Dreamers,5.0,0.762
0.209,Liberation,album,Christina Aguilera,0.39,2018-06-15,0.631,0.0,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",0.0,9.0,RCA Records Label,248544.0,0.277,-4.701,0.0769,123.042,Fall In Line,6.0,0.197
