Acousticness,Album,Album Type,Artist,Danceability,Date,Energy,Explicit,Genre,Instrumentalness,Key,Label,Length,Liveness,Loudness,Speechiness,Tempo,Track,Track Number,Valence
0.324,BEWARE THE BOOK OF ELI,album,Ski Mask The Slump God,0.893,2018-05-11,0.676,1.0,"['rap', 'trap music', 'underground hip hop']",0.0,9.0,Victor/Republic Records,152213.0,0.0968,-4.867,0.227,125.923,COOLEST MONKEY IN THE JUNGLE,4.0,0.804
0.0306,ICY GRL,single,Saweetie,0.927,2018-01-26,0.563,1.0,['pop'],0.0,7.0,ICY/Artistry Worldwide/Warner Bros.,109302.0,0.0736,-5.827,0.175,103.312,ICY GRL,1.0,0.842
0.0259,Breathe,single,Jax Jones,0.741,2017-12-01,0.728,0.0,"['dance pop', 'edm', 'house', 'pop', 'tropical house']",0.00025,11.0,Polydor,207629.0,0.14,-5.559,0.0408,125.984,Breathe,1.0,0.703
0.000209,Hear No Evil,single,Young Thug,0.968,2018-04-13,0.353,1.0,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2.48e-06,6.0,300 Entertainment/Atl,206773.0,0.094,-7.422,0.331,130.016,Now (feat. 21 Savage),3.0,0.0971
0.23,Stoney (Deluxe),album,Post Malone,0.587,2016-12-09,0.499,1.0,"['pop', 'rap']",3.92e-06,5.0,Universal Records,197120.0,0.0912,-8.267,0.0468,120.005,Feel,10.0,0.191
0.419,Por Perro,single,Sebastian Yatra,0.685,2018-03-30,0.762,0.0,"['colombian pop', 'pop', 'reggaeton']",0.0,0.0,Andres Saavedra,245360.0,0.0759,-5.147,0.0565,172.017,Por Perro,1.0,0.905
0.000937,I'm Comin' Over,album,Chris Young,0.616,2015-11-13,0.893,0.0,"['contemporary country', 'country', 'country road', 'modern country rock']",0.0,11.0,RCA Records Label Nashville,218946.0,0.111,-3.588,0.0375,111.959,Think of You,3.0,0.567
0.435,So Far Away,single,Martin Garrix,0.526,2017-12-01,0.52,0.0,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",0.0,6.0,Epic Amsterdam,183636.0,0.197,-7.985,0.0569,149.119,So Far Away,1.0,0.13
0.115,Fuck It Off (feat. Chris Brown),single,Tee Grizzley,0.801,2018-05-04,0.611,1.0,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,1.0,300 Entertainment,147596.0,0.213,-6.649,0.192,100.027,Fuck It Off (feat. Chris Brown),1.0,0.158
0.119,All My Friends,single,Snakehips,0.689,2015-10-21,0.521,1.0,"['dance pop', 'edm', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",8.41e-05,0.0,Hoffman West/Columbia,229746.0,0.108,-5.845,0.132,95.055,All My Friends,1.0,0.178
0.0505,Bobby Tarantino II,album,Logic,0.719,2018-03-09,0.617,1.0,"['hip hop', 'pop rap', 'rap']",0.0,11.0,Def Jam Recordings,144626.0,0.0716,-6.882,0.036,146.015,Wizard Of Oz,9.0,0.0626
